Rectangle,Rectangle,Rectangle
Area,Length,Width
4871860,1955,2492
4862970,1953,2490
4885210,1958,2495
4871860,1955,2492
4876308,1956,2493
4869905,1955,2491
4881294,1958,2493
4880758,1957,2494
4862970,1953,2490
4869368,1954,2492
4887705,1959,2495
4887168,1958,2496
4883252,1958,2494
4869905,1955,2491
4883252,1958,2494
4885210,1958,2495
4876308,1956,2493
4873815,1955,2493
4873815,1955,2493
4876308,1956,2493
4857111,1953,2487
4857111,1953,2487
4857111,1953,2487
4854624,1952,2487
4887168,1958,2496
4862970,1953,2490
4854624,1952,2487
4854624,1952,2487
4857111,1953,2487
4857111,1953,2487
4857111,1953,2487
4857111,1953,2487
4878264,1956,2494
4859064,1953,2488
4859064,1953,2488
4885210,1958,2495
4854624,1952,2487
4857111,1953,2487
4857111,1953,2487
4854624,1952,2487
4871860,1955,2492
4869905,1955,2491
4871860,1955,2492
4862970,1953,2490
4857111,1953,2487
4859064,1953,2488
4854624,1952,2487
4857111,1953,2487
4880758,1957,2494
4871860,1955,2492
4857111,1953,2487
4857111,1953,2487
4894120,1960,2497
4871860,1955,2492
4857111,1953,2487
4857111,1953,2487
4869368,1954,2492
4857111,1953,2487
4854624,1952,2487
4859064,1953,2488
4857111,1953,2487
4871860,1955,2492
4857111,1953,2487
4857111,1953,2487
4854624,1952,2487
4857111,1953,2487
4857111,1953,2487
4854624,1952,2487
4857111,1953,2487
4859064,1953,2488
4854624,1952,2487
4857111,1953,2487
4852672,1952,2486
4854624,1952,2487
4857111,1953,2487
4857111,1953,2487
4857111,1953,2487
4854624,1952,2487
4854624,1952,2487
4854624,1952,2487
4857111,1953,2487
4876308,1956,2493
4873815,1955,2493
4880758,1957,2494
4880758,1957,2494
4862970,1953,2490
4872396,1956,2491
4883252,1958,2494
4869905,1955,2491
4880758,1957,2494
4871860,1955,2492
4887705,1959,2495
4876308,1956,2493
4880758,1957,2494
4869368,1954,2492
4880758,1957,2494
4894120,1960,2497
4869368,1954,2492
4881294,1958,2493
4869368,1954,2492
