TimeStamp,Length_Sil,Height_Sil,Width_Phos,Height_Phos,Time_s,Volume
2026-05-27 10:03:19.000000000,2.0,2.0,,,0.0,
2026-05-27 10:03:19.641034000,2.0,2.0,,,0.641,
2026-05-27 10:03:20.282068000,2.0,2.0,,,1.2821,
2026-05-27 10:03:20.923102000,2.0,2.0,,,1.9231,
2026-05-27 10:03:21.564136000,2.0,2.0,,,2.5641,
2026-05-27 10:03:22.205170000,2.0,2.0,,,3.2052,
2026-05-27 10:03:22.846204000,2.0,2.0,,,3.8462,
2026-05-27 10:03:23.487238000,2.0,2.0,,,4.4872,
2026-05-27 10:03:24.128272000,2.0,2.0,,,5.1283,
2026-05-27 10:03:24.769306000,2.0,2.0,,,5.7693,
2026-05-27 10:03:25.410340000,2.0,2.0,,,6.4103,
2026-05-27 10:03:26.051374000,2.0,2.0,,,7.0514,
2026-05-27 10:03:26.692408000,2.0,2.0,,,7.6924,
2026-05-27 10:03:27.333442000,2.0,2.0,,,8.3334,
2026-05-27 10:03:27.974476000,2.0,2.0,,,8.9745,
2026-05-27 10:03:28.615510000,2.0,2.0,,,9.6155,
2026-05-27 10:03:29.256544000,2.0,2.0,,,10.2565,
2026-05-27 10:03:29.897578000,2.0,2.0,,,10.8976,
2026-05-27 10:03:30.538612000,2.0,2.0,,,11.5386,
2026-05-27 10:03:31.179646000,2.0,2.0,,,12.1796,
2026-05-27 10:03:31.820680000,2.0,2.0,,,12.8207,
2026-05-27 10:03:32.461714000,2.0,2.0,,,13.4617,
2026-05-27 10:03:33.102748000,2.0,2.0,,,14.1027,
2026-05-27 10:03:33.743782000,2.0,2.0,,,14.7438,
2026-05-27 10:03:34.384816000,2.0,2.0,,,15.3848,
2026-05-27 10:03:35.025849999,2.0,2.0,,,16.0258,
2026-05-27 10:03:35.666884000,2.0,2.0,,,16.6669,
2026-05-27 10:03:36.307918000,2.0,2.0,,,17.3079,
2026-05-27 10:03:36.948952000,2.0,2.0,,,17.949,
2026-05-27 10:03:37.589986000,2.0,2.0,,,18.59,
2026-05-27 10:03:38.231020000,2.0,2.0,,,19.231,
2026-05-27 10:03:38.872054000,2.0,2.0,,,19.8721,
2026-05-27 10:03:39.513088000,2.0,2.0,,,20.5131,
2026-05-27 10:03:40.154122000,2.0,2.0,,,21.1541,
2026-05-27 10:03:40.795156000,2.0,2.0,,,21.7952,
2026-05-27 10:03:41.436190000,2.0,2.0,,,22.4362,
2026-05-27 10:03:42.077224000,2.0,2.0,,,23.0772,
2026-05-27 10:03:42.718258000,2.0,2.0,,,23.7183,
2026-05-27 10:03:43.359292000,2.0,2.0,,,24.3593,
2026-05-27 10:03:44.000326000,2.0,2.0,,,25.0003,
2026-05-27 10:03:44.641360000,2.0,2.0,,,25.6414,
2026-05-27 10:03:45.282394000,2.0,2.0,,,26.2824,
2026-05-27 10:03:45.923428000,2.0,2.0,,,26.9234,
2026-05-27 10:03:46.564462000,2.0,2.0,,,27.5645,
2026-05-27 10:03:47.205496000,2.0,2.0,,,28.2055,
2026-05-27 10:03:47.846530000,2.0,2.0,,,28.8465,
2026-05-27 10:03:48.487564000,2.0,2.0,,,29.4876,
2026-05-27 10:03:49.128598000,2.0,2.0,,,30.1286,
2026-05-27 10:03:49.769632000,2.0,2.0,,,30.7696,
2026-05-27 10:03:50.410666000,2.0,2.0,,,31.4107,
2026-05-27 10:03:51.051699999,2.0,2.0,,,32.0517,
2026-05-27 10:03:51.692734000,2.0,2.0,,,32.6927,
2026-05-27 10:03:52.333768000,2.0,2.0,,,33.3338,
2026-05-27 10:03:52.974801999,2.0,2.0,,,33.9748,
2026-05-27 10:03:53.615836000,2.0,2.0,,,34.6158,
2026-05-27 10:03:54.256870000,2.0,2.0,,,35.2569,
2026-05-27 10:03:54.897904000,2.0,2.0,,,35.8979,
2026-05-27 10:03:55.538938000,2.0,2.0,,,36.5389,
2026-05-27 10:03:56.179972000,2.0,2.0,,,37.18,
2026-05-27 10:03:56.821006000,2.0,2.0,,,37.821,
2026-05-27 10:03:57.462040000,2.0,2.0,,,38.462,
2026-05-27 10:03:58.103074000,2.0,2.0,,,39.1031,
2026-05-27 10:03:58.744108000,2.0,2.0,,,39.7441,
2026-05-27 10:03:59.385142000,2.0,2.0,,,40.3851,
2026-05-27 10:04:00.026176000,2.0,2.0,,,41.0262,
2026-05-27 10:04:00.667210000,2.0,2.0,,,41.6672,
2026-05-27 10:04:01.308244000,2.0,2.0,,,42.3082,
2026-05-27 10:04:01.949278000,2.0,2.0,,,42.9493,
2026-05-27 10:04:02.590312000,2.0,2.0,,,43.5903,
2026-05-27 10:04:03.231346000,2.0,2.0,,,44.2313,
2026-05-27 10:04:03.872380000,2.0,2.0,,,44.8724,
2026-05-27 10:04:04.513414000,2.0,2.0,,,45.5134,
2026-05-27 10:04:05.154448000,2.0,2.0,,,46.1544,
2026-05-27 10:04:05.795482000,2.0,2.0,,,46.7955,
2026-05-27 10:04:06.436516000,2.0,2.0,,,47.4365,
2026-05-27 10:04:07.077550000,2.0,2.0,,,48.0776,
2026-05-27 10:04:07.718584000,2.0,2.0,,,48.7186,
2026-05-27 10:04:08.359618000,2.0,2.0,,,49.3596,
2026-05-27 10:04:09.000652000,2.0,2.0,,,50.0007,
2026-05-27 10:04:09.641686000,2.0,2.0,,,50.6417,
2026-05-27 10:04:10.282720000,2.0,2.0,,,51.2827,
2026-05-27 10:04:10.923754000,2.0,2.0,,,51.9238,
2026-05-27 10:04:11.564788000,2.0,2.0,,,52.5648,
2026-05-27 10:04:12.205822000,2.0,2.0,,,53.2058,
2026-05-27 10:04:12.846856000,2.0,2.0,,,53.8469,
2026-05-27 10:04:13.487890000,2.0,2.0,,,54.4879,
2026-05-27 10:04:14.128924000,2.0,2.0,,,55.1289,
2026-05-27 10:04:14.769958000,2.0,2.0,,,55.77,
2026-05-27 10:04:15.410992000,2.0,2.0,,,56.411,
2026-05-27 10:04:16.052026000,2.0,2.0,,,57.052,
2026-05-27 10:04:16.693060000,2.0,2.0,,,57.6931,
2026-05-27 10:04:17.334094000,2.0,2.0,,,58.3341,
2026-05-27 10:04:17.975128000,2.0,2.0,,,58.9751,
2026-05-27 10:04:18.616162000,2.0,2.0,,,59.6162,
2026-05-27 10:04:19.257196000,2.0,2.0,,,60.2572,
2026-05-27 10:04:19.898230000,2.0,2.0,,,60.8982,
2026-05-27 10:04:20.539264000,2.0,2.0,,,61.5393,
2026-05-27 10:04:21.180298000,2.0,2.0,,,62.1803,
2026-05-27 10:04:21.821332000,2.0,2.0,,,62.8213,
2026-05-27 10:04:22.462365999,2.0,2.0,,,63.4624,
